mes,Vol_prom,Vol_min,Vol_max,Qout_prom
1,197.64757381059877,149.998866086534,219.71959267706424,178.77563316348986
2,191.46760458737145,13.612286236491594,228.67956989509815,161.22219401426088
3,191.01700933752915,115.37820106258287,230.06934130227688,157.44203961402016
4,191.22149895809525,147.7803074633468,236.08151016729786,157.43105113531118
5,201.01503485722895,145.66844504922958,234.20967036509705,190.04443785253892
6,201.71071596988037,159.2999381326148,232.71981421627711,192.37127362946683
7,198.4852440180883,160.78976292634601,232.6147971599634,181.629653724372
8,201.6514947169276,137.99996490530157,235.83166698410645,192.23844942791064
9,201.46598733416184,154.4153783090538,237.59872357939346,191.54312267862773
